category,sequence,new_path,source_file,source_timestamp,source_number
jump-rope,1,/campaign/jump-rope/jump-rope-01.webp,"ChatGPT Image Jun 10, 2026, 03_53_13 PM (1).png",03_53_13,1
jump-rope,2,/campaign/jump-rope/jump-rope-02.webp,"ChatGPT Image Jun 10, 2026, 03_53_17 PM (2).png",03_53_17,2
jump-rope,3,/campaign/jump-rope/jump-rope-03.webp,"ChatGPT Image Jun 10, 2026, 03_53_17 PM (3).png",03_53_17,3
jump-rope,4,/campaign/jump-rope/jump-rope-04.webp,"ChatGPT Image Jun 10, 2026, 03_53_17 PM (4).png",03_53_17,4
jump-rope,5,/campaign/jump-rope/jump-rope-05.webp,"ChatGPT Image Jun 10, 2026, 03_53_22 PM (5).png",03_53_22,5
jump-rope,6,/campaign/jump-rope/jump-rope-06.webp,"ChatGPT Image Jun 10, 2026, 03_53_26 PM (6).png",03_53_26,6
jump-rope,7,/campaign/jump-rope/jump-rope-07.webp,"ChatGPT Image Jun 10, 2026, 03_53_26 PM (7).png",03_53_26,7
jump-rope,8,/campaign/jump-rope/jump-rope-08.webp,"ChatGPT Image Jun 10, 2026, 03_53_26 PM (8).png",03_53_26,8
jump-rope,9,/campaign/jump-rope/jump-rope-09.webp,"ChatGPT Image Jun 10, 2026, 03_53_28 PM (9).png",03_53_28,9
jump-rope,10,/campaign/jump-rope/jump-rope-10.webp,"ChatGPT Image Jun 10, 2026, 03_53_29 PM (10).png",03_53_29,10
jump-rope,11,/campaign/jump-rope/jump-rope-11.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (1).png",03_55_53,1
jump-rope,12,/campaign/jump-rope/jump-rope-12.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (2).png",03_55_53,2
jump-rope,13,/campaign/jump-rope/jump-rope-13.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (3).png",03_55_53,3
jump-rope,14,/campaign/jump-rope/jump-rope-14.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (4).png",03_55_53,4
jump-rope,15,/campaign/jump-rope/jump-rope-15.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (5).png",03_55_53,5
jump-rope,16,/campaign/jump-rope/jump-rope-16.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (6).png",03_55_53,6
jump-rope,17,/campaign/jump-rope/jump-rope-17.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (7).png",03_55_53,7
jump-rope,18,/campaign/jump-rope/jump-rope-18.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (8).png",03_55_53,8
jump-rope,19,/campaign/jump-rope/jump-rope-19.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (9).png",03_55_53,9
jump-rope,20,/campaign/jump-rope/jump-rope-20.webp,"ChatGPT Image Jun 10, 2026, 03_55_53 PM (10).png",03_55_53,10
sparring,1,/campaign/sparring/sparring-01.webp,"ChatGPT Image Jun 10, 2026, 03_54_13 PM (1).png",03_54_13,1
sparring,2,/campaign/sparring/sparring-02.webp,"ChatGPT Image Jun 10, 2026, 03_54_13 PM (2).png",03_54_13,2
sparring,3,/campaign/sparring/sparring-03.webp,"ChatGPT Image Jun 10, 2026, 03_54_14 PM (3).png",03_54_14,3
sparring,4,/campaign/sparring/sparring-04.webp,"ChatGPT Image Jun 10, 2026, 03_54_15 PM (4).png",03_54_15,4
sparring,5,/campaign/sparring/sparring-05.webp,"ChatGPT Image Jun 10, 2026, 03_54_15 PM (5).png",03_54_15,5
sparring,6,/campaign/sparring/sparring-06.webp,"ChatGPT Image Jun 10, 2026, 03_54_17 PM (6).png",03_54_17,6
sparring,7,/campaign/sparring/sparring-07.webp,"ChatGPT Image Jun 10, 2026, 03_54_18 PM (7).png",03_54_18,7
sparring,8,/campaign/sparring/sparring-08.webp,"ChatGPT Image Jun 10, 2026, 03_54_19 PM (8).png",03_54_19,8
sparring,9,/campaign/sparring/sparring-09.webp,"ChatGPT Image Jun 10, 2026, 03_54_20 PM (9).png",03_54_20,9
sparring,10,/campaign/sparring/sparring-10.webp,"ChatGPT Image Jun 10, 2026, 03_54_21 PM (10).png",03_54_21,10
sparring,11,/campaign/sparring/sparring-11.webp,"ChatGPT Image Jun 10, 2026, 03_54_28 PM (1).png",03_54_28,1
sparring,12,/campaign/sparring/sparring-12.webp,"ChatGPT Image Jun 10, 2026, 03_54_28 PM (2).png",03_54_28,2
sparring,13,/campaign/sparring/sparring-13.webp,"ChatGPT Image Jun 10, 2026, 03_54_28 PM (3).png",03_54_28,3
sparring,14,/campaign/sparring/sparring-14.webp,"ChatGPT Image Jun 10, 2026, 03_54_29 PM (4).png",03_54_29,4
sparring,15,/campaign/sparring/sparring-15.webp,"ChatGPT Image Jun 10, 2026, 03_54_31 PM (5).png",03_54_31,5
sparring,16,/campaign/sparring/sparring-16.webp,"ChatGPT Image Jun 10, 2026, 03_54_31 PM (6).png",03_54_31,6
sparring,17,/campaign/sparring/sparring-17.webp,"ChatGPT Image Jun 10, 2026, 03_54_31 PM (7).png",03_54_31,7
sparring,18,/campaign/sparring/sparring-18.webp,"ChatGPT Image Jun 10, 2026, 03_54_31 PM (8).png",03_54_31,8
heavy-bag,1,/campaign/heavy-bag/heavy-bag-01.webp,"ChatGPT Image Jun 10, 2026, 03_54_43 PM (1).png",03_54_43,1
heavy-bag,2,/campaign/heavy-bag/heavy-bag-02.webp,"ChatGPT Image Jun 10, 2026, 03_54_43 PM (2).png",03_54_43,2
heavy-bag,3,/campaign/heavy-bag/heavy-bag-03.webp,"ChatGPT Image Jun 10, 2026, 03_54_44 PM (3).png",03_54_44,3
heavy-bag,4,/campaign/heavy-bag/heavy-bag-04.webp,"ChatGPT Image Jun 10, 2026, 03_54_45 PM (4).png",03_54_45,4
heavy-bag,5,/campaign/heavy-bag/heavy-bag-05.webp,"ChatGPT Image Jun 10, 2026, 03_54_47 PM (5).png",03_54_47,5
heavy-bag,6,/campaign/heavy-bag/heavy-bag-06.webp,"ChatGPT Image Jun 10, 2026, 03_54_47 PM (6).png",03_54_47,6
heavy-bag,7,/campaign/heavy-bag/heavy-bag-07.webp,"ChatGPT Image Jun 10, 2026, 03_54_48 PM (7).png",03_54_48,7
heavy-bag,8,/campaign/heavy-bag/heavy-bag-08.webp,"ChatGPT Image Jun 10, 2026, 03_54_57 PM (1).png",03_54_57,1
heavy-bag,9,/campaign/heavy-bag/heavy-bag-09.webp,"ChatGPT Image Jun 10, 2026, 03_54_57 PM (2).png",03_54_57,2
heavy-bag,10,/campaign/heavy-bag/heavy-bag-10.webp,"ChatGPT Image Jun 10, 2026, 03_54_57 PM (3).png",03_54_57,3
heavy-bag,11,/campaign/heavy-bag/heavy-bag-11.webp,"ChatGPT Image Jun 10, 2026, 03_54_58 PM (4).png",03_54_58,4
heavy-bag,12,/campaign/heavy-bag/heavy-bag-12.webp,"ChatGPT Image Jun 10, 2026, 03_54_58 PM (5).png",03_54_58,5
heavy-bag,13,/campaign/heavy-bag/heavy-bag-13.webp,"ChatGPT Image Jun 10, 2026, 03_54_59 PM (6).png",03_54_59,6
heavy-bag,14,/campaign/heavy-bag/heavy-bag-14.webp,"ChatGPT Image Jun 10, 2026, 03_54_59 PM (7).png",03_54_59,7
heavy-bag,15,/campaign/heavy-bag/heavy-bag-15.webp,"ChatGPT Image Jun 10, 2026, 03_55_00 PM (8).png",03_55_00,8
heavy-bag,16,/campaign/heavy-bag/heavy-bag-16.webp,"ChatGPT Image Jun 10, 2026, 03_55_00 PM (9).png",03_55_00,9
heavy-bag,17,/campaign/heavy-bag/heavy-bag-17.webp,"ChatGPT Image Jun 10, 2026, 03_55_00 PM (10).png",03_55_00,10
floor-ball,1,/campaign/floor-ball/floor-ball-01.webp,"ChatGPT Image Jun 10, 2026, 03_55_11 PM (1).png",03_55_11,1
floor-ball,2,/campaign/floor-ball/floor-ball-02.webp,"ChatGPT Image Jun 10, 2026, 03_55_11 PM (2).png",03_55_11,2
floor-ball,3,/campaign/floor-ball/floor-ball-03.webp,"ChatGPT Image Jun 10, 2026, 03_55_12 PM (3).png",03_55_12,3
floor-ball,4,/campaign/floor-ball/floor-ball-04.webp,"ChatGPT Image Jun 10, 2026, 03_55_12 PM (4).png",03_55_12,4
floor-ball,5,/campaign/floor-ball/floor-ball-05.webp,"ChatGPT Image Jun 10, 2026, 03_55_13 PM (5).png",03_55_13,5
floor-ball,6,/campaign/floor-ball/floor-ball-06.webp,"ChatGPT Image Jun 10, 2026, 03_55_13 PM (6).png",03_55_13,6
floor-ball,7,/campaign/floor-ball/floor-ball-07.webp,"ChatGPT Image Jun 10, 2026, 03_55_14 PM (7).png",03_55_14,7
floor-ball,8,/campaign/floor-ball/floor-ball-08.webp,"ChatGPT Image Jun 10, 2026, 03_55_16 PM (8).png",03_55_16,8
floor-ball,9,/campaign/floor-ball/floor-ball-09.webp,"ChatGPT Image Jun 10, 2026, 03_55_16 PM (9).png",03_55_16,9
floor-ball,10,/campaign/floor-ball/floor-ball-10.webp,"ChatGPT Image Jun 10, 2026, 03_55_18 PM (10).png",03_55_18,10
